
ID,ProductName,Price,Quantity
1,Socks,13.00,10
2,Necklace,13.00,20
3,Drawers,233.00,10
4,PurpleGlassCandle,17.00,10
5,VerbatimCD700MB,9.95,5
6,DeskLamp,35.00,5
7,MoonGlobe,160.00,3
8,CoffeeMug,8.99,5
9,PlantHanger,19.00,10
10,WomenShoulderBag,48.00,5
11,LaCremeLipstick,28.00,10
12,KngdomPip,30.00,5
13,CrystalCandle,28.00,10
14,2-SliceToaster,150.00,50
15,AirPlantTerrarium,18.00,10
16,Solo3WirelessHeadphones,198.00,10
17,KidsRoomLamp,14.99,5
18,PencilHolder,19.00,10
19,ConcreteDestopPlanter,30.00,50
20,CoffeeTable,117.00,30
21,UnicornSuit,60.00,1
22,T-Shirt,15.00,10
23,SilkhangingFlower,13.00,5
24,SGlassTumbler,10.00,10
25,LightSwitchCover,19.00,2
26,TableTopper,15.00,3
27,TacoHolder,12.00,5
28,CatFaceBackpack,21.00,10
29,ArtMarkers,13.00,5
30,AlienCoffeeMug,15.00,10
31,TuftedFaintingSofa,647.00,10
32,FileFolder,9.00,50
33,CurveTeapot,36.99,10
34,IronSapporoTeapot,18.00,10
35,SoupMug,17.00,50
36,PartyWig,13.00,10
37,CubistFloatingShelf,47.00,10
38,PlantVase,30.00,10
39,LeatherPassportHolder,6.00,5
40,ModernClubChair,239.00,10
41,CuteButtPillow,11.99,50
42,HearPlushFigure,22.00,20
43,WatercolorsLipGlossSet,32.00,1
44,CosmeticStorageBoxes,19.00,3
45,KitchenSpongeHolder,13.00,5
46,SpartanKnifeBlock,70.00,10
47,InstantFilmCamera,60.00,10
48,BambooWirelessMouse,18.00,5
49,PortableTurntable,170.00,10
50,PetTents,38.00,10
51,RoundMagnet,11.00,5
52,PlayStation4,300.00,10
53,xboxonecontroller,24.99,10
54,ArrowheadWater,0.99,10
55,ManukaHoney,30.00,5
56,SJSUhat,28.99,5
57,SJSUNotebook,11.99,10
58,SJSUT-shirt,24.99,10
59CMPE-131Textbook,80.00,10
60,JORDANAJXXXII,185.00,10
61,AccentTable,69.00,3
